user_id,event,timestamp
1,visit,2025-07-04 0:47
1,signup,2025-07-04 0:55
2,visit,2025-07-03 18:27
2,signup,2025-07-03 18:30
3,visit,2025-07-07 22:41
3,signup,2025-07-07 22:55
3,try_feature,2025-07-07 23:14
4,visit,2025-07-06 22:27
4,signup,2025-07-06 22:32
4,try_feature,2025-07-06 22:43
4,purchase,2025-07-06 22:56
5,visit,2025-07-09 1:46
6,visit,2025-07-13 2:35
7,visit,2025-07-12 18:12
7,signup,2025-07-12 18:14
8,visit,2025-07-08 3:24
8,signup,2025-07-08 3:36
8,try_feature,2025-07-08 3:48
9,visit,2025-07-03 19:40
9,signup,2025-07-03 19:48
9,try_feature,2025-07-03 20:01
9,purchase,2025-07-03 20:19
10,visit,2025-07-02 7:52
10,signup,2025-07-02 8:03
10,try_feature,2025-07-02 8:06
11,visit,2025-07-11 6:41
11,signup,2025-07-11 6:56
11,try_feature,2025-07-11 7:01
12,visit,2025-07-14 18:25
12,signup,2025-07-14 18:30
13,visit,2025-07-04 4:40
13,signup,2025-07-04 4:54
13,try_feature,2025-07-04 5:07
14,visit,2025-07-01 21:46
15,visit,2025-07-11 3:18
15,signup,2025-07-11 3:33
16,visit,2025-07-06 16:58
17,visit,2025-07-07 4:23
18,visit,2025-07-01 19:20
19,visit,2025-07-10 7:03
20,visit,2025-07-03 23:31
22,visit,2025-07-06 8:33
23,visit,2025-07-07 22:19
23,signup,2025-07-07 22:31
23,try_feature,2025-07-07 22:48
23,purchase,2025-07-07 22:56
24,visit,2025-07-01 18:35
24,signup,2025-07-01 18:43
24,try_feature,2025-07-01 18:45
25,visit,2025-07-03 16:15
25,signup,2025-07-03 16:31
26,visit,2025-07-16 7:50
26,signup,2025-07-16 8:04
27,visit,2025-07-12 13:26
27,signup,2025-07-12 13:28
27,try_feature,2025-07-12 13:32
28,visit,2025-07-04 7:12
28,signup,2025-07-04 7:27
28,try_feature,2025-07-04 7:33
29,visit,2025-07-03 14:51
29,signup,2025-07-03 15:09
30,visit,2025-07-03 7:10
30,signup,2025-07-03 7:26
32,visit,2025-07-09 14:18
32,signup,2025-07-09 14:36
32,try_feature,2025-07-09 14:52
32,purchase,2025-07-09 15:02
33,visit,2025-07-02 23:20
33,signup,2025-07-02 23:39
33,try_feature,2025-07-02 23:56
33,purchase,2025-07-03 0:13
34,visit,2025-07-03 19:04
34,signup,2025-07-03 19:12
34,try_feature,2025-07-03 19:31
34,purchase,2025-07-03 19:51
35,visit,2025-07-14 21:37
36,visit,2025-07-07 21:45
36,signup,2025-07-07 21:54
36,try_feature,2025-07-07 22:04
36,purchase,2025-07-07 22:07
37,visit,2025-07-04 2:34
37,signup,2025-07-04 2:43
38,visit,2025-07-08 11:18
39,visit,2025-07-01 21:52
40,visit,2025-07-05 8:07
40,signup,2025-07-05 8:25
41,visit,2025-07-11 6:43
41,signup,2025-07-11 6:52
42,visit,2025-07-02 2:40
42,signup,2025-07-02 2:49
43,visit,2025-07-09 5:47
43,signup,2025-07-09 6:01
43,try_feature,2025-07-09 6:05
44,visit,2025-07-12 18:35
44,signup,2025-07-12 18:40
45,visit,2025-07-02 11:13
45,signup,2025-07-02 11:17
46,visit,2025-07-14 19:47
47,visit,2025-07-06 13:01
48,visit,2025-07-14 21:55
48,signup,2025-07-14 22:03
48,try_feature,2025-07-14 22:07
50,visit,2025-07-12 9:52
50,signup,2025-07-12 10:00
50,try_feature,2025-07-12 10:07
51,visit,2025-07-09 11:41
51,signup,2025-07-09 11:59
51,try_feature,2025-07-09 12:00
51,purchase,2025-07-09 12:09
52,visit,2025-07-02 3:38
52,signup,2025-07-02 3:49
52,try_feature,2025-07-02 4:06
52,purchase,2025-07-02 4:25
54,visit,2025-07-07 11:27
54,signup,2025-07-07 11:38
55,visit,2025-07-10 16:19
55,signup,2025-07-10 16:30
57,visit,2025-07-06 19:36
58,visit,2025-07-10 9:13
58,signup,2025-07-10 9:32
58,try_feature,2025-07-10 9:43
59,visit,2025-07-16 23:10
59,signup,2025-07-16 23:20
59,try_feature,2025-07-16 23:40
60,visit,2025-07-08 6:09
61,visit,2025-07-03 14:26
61,signup,2025-07-03 14:45
61,try_feature,2025-07-03 14:58
61,purchase,2025-07-03 15:06
62,visit,2025-07-04 13:14
62,signup,2025-07-04 13:31
62,try_feature,2025-07-04 13:49
64,visit,2025-07-11 14:39
64,signup,2025-07-11 14:56
64,try_feature,2025-07-11 15:14
65,visit,2025-07-16 14:16
66,visit,2025-07-16 20:15
67,visit,2025-07-08 8:21
67,signup,2025-07-08 8:39
67,try_feature,2025-07-08 8:44
68,visit,2025-07-03 13:26
68,signup,2025-07-03 13:41
69,visit,2025-07-13 18:44
69,signup,2025-07-13 19:03
70,visit,2025-07-10 12:54
70,signup,2025-07-10 13:08
71,visit,2025-07-08 15:14
71,signup,2025-07-08 15:30
72,visit,2025-07-13 23:10
73,visit,2025-07-01 12:37
73,signup,2025-07-01 12:38
73,try_feature,2025-07-01 12:52
73,purchase,2025-07-01 13:07
74,visit,2025-07-13 10:13
76,visit,2025-07-14 8:53
77,visit,2025-07-02 11:14
78,visit,2025-07-08 6:53
78,signup,2025-07-08 6:58
79,visit,2025-07-07 14:44
79,signup,2025-07-07 14:56
80,visit,2025-07-04 5:19
81,visit,2025-07-13 12:45
81,signup,2025-07-13 13:04
81,try_feature,2025-07-13 13:12
82,visit,2025-07-04 18:50
82,signup,2025-07-04 19:08
82,try_feature,2025-07-04 19:20
82,purchase,2025-07-04 19:31
84,visit,2025-07-15 22:09
86,visit,2025-07-16 14:27
86,signup,2025-07-16 14:46
87,visit,2025-07-03 8:56
87,signup,2025-07-03 9:11
87,try_feature,2025-07-03 9:24
88,visit,2025-07-06 15:13
88,signup,2025-07-06 15:22
89,visit,2025-07-09 17:00
89,signup,2025-07-09 17:07
89,try_feature,2025-07-09 17:21
90,visit,2025-07-16 14:50
90,signup,2025-07-16 15:00
90,try_feature,2025-07-16 15:08
91,visit,2025-07-12 13:47
92,visit,2025-07-09 9:16
92,signup,2025-07-09 9:23
93,visit,2025-07-06 6:13
94,visit,2025-07-10 3:53
94,signup,2025-07-10 4:01
94,try_feature,2025-07-10 4:11
94,purchase,2025-07-10 4:29
95,visit,2025-07-02 17:18
95,signup,2025-07-02 17:23
95,try_feature,2025-07-02 17:39
96,visit,2025-07-16 15:28
96,signup,2025-07-16 15:30
96,try_feature,2025-07-16 15:46
97,visit,2025-07-03 18:40
97,signup,2025-07-03 18:45
98,visit,2025-07-03 7:07
98,signup,2025-07-03 7:21
98,try_feature,2025-07-03 7:41
99,visit,2025-07-15 9:55
99,signup,2025-07-15 10:09
99,try_feature,2025-07-15 10:29
100,visit,2025-07-07 20:13
100,signup,2025-07-07 20:16
101,visit,2025-07-06 0:26
101,signup,2025-07-06 0:46
101,try_feature,2025-07-06 0:48
102,visit,2025-07-15 2:43
103,visit,2025-07-07 13:07
104,visit,2025-07-05 2:03
104,signup,2025-07-05 2:13
105,visit,2025-07-15 3:29
106,visit,2025-07-16 14:05
107,visit,2025-07-09 0:05
107,signup,2025-07-09 0:24
108,visit,2025-07-09 18:02
108,signup,2025-07-09 18:08
109,visit,2025-07-06 18:27
110,visit,2025-07-16 11:26
111,visit,2025-07-11 13:44
112,visit,2025-07-02 14:05
112,signup,2025-07-02 14:16
113,visit,2025-07-01 21:55
113,signup,2025-07-01 22:09
113,try_feature,2025-07-01 22:26
114,visit,2025-07-02 6:17
114,signup,2025-07-02 6:27
114,try_feature,2025-07-02 6:43
115,visit,2025-07-06 9:35
115,signup,2025-07-06 9:49
115,try_feature,2025-07-06 9:53
116,visit,2025-07-05 15:59
117,visit,2025-07-14 15:30
117,signup,2025-07-14 15:48
